snapshot,duration_h,project_wind_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,pcc_export_mw,pcc_import_mw,charge_mw__Croaghonagh,discharge_mw__Croaghonagh,soc_mwh__Croaghonagh
2030-01-14 06:00:00,1.0,0.0,0.0,0.0,44.0,0.0,0.0,-0.0,-0.0,44.0
2030-01-14 07:00:00,1.0,0.0,36.49587353828308,0.0,78.62302567353287,0.0,36.49587353828308,36.49587353828308,-0.0,78.62302567353287
2030-01-14 08:00:00,1.0,0.0,90.0,0.0,164.0045224980791,0.0,90.0,90.0,-0.0,164.0045224980791
2030-01-14 09:00:00,1.0,0.0,90.0,0.0,249.38601932262532,0.0,90.0,90.0,-0.0,249.38601932262532
2030-01-14 10:00:00,1.0,0.0,64.54470525480681,0.0,310.6185031754538,0.0,64.54470525480681,64.54470525480681,-0.0,310.6185031754538
2030-01-14 11:00:00,1.0,0.0,90.0,0.0,396.0,0.0,90.0,90.0,-0.0,396.0
2030-01-14 12:00:00,1.0,0.0,0.0,23.946290781921224,370.75839320547817,23.946290781921224,0.0,-0.0,23.946290781921224,370.75839320547817
2030-01-14 13:00:00,1.0,0.0,0.0,51.5289094352982,316.44215348545043,51.5289094352982,0.0,-0.0,51.5289094352982,316.44215348545043
2030-01-14 14:00:00,1.0,0.0,0.0,90.0,221.57382368039904,90.0,0.0,-0.0,90.0,221.57382368039904
2030-01-14 15:00:00,1.0,0.0,77.40853262221312,0.0,295.01000570569096,0.0,77.40853262221312,77.40853262221312,-0.0,295.01000570569096
2030-01-14 16:00:00,1.0,0.0,-1.1368683772161603e-13,0.0,295.0100057056909,1.1368683772161603e-13,0.0,-1.1368683772161603e-13,-0.0,295.0100057056909
2030-01-14 17:00:00,1.0,0.0,34.96616785206669,0.0,328.18182514377736,0.0,34.96616785206669,34.96616785206669,-0.0,328.18182514377736
2030-01-14 18:00:00,1.0,0.0,0.0,60.5711241209505,264.33425425745475,60.5711241209505,0.0,-0.0,60.5711241209505,264.33425425745475
2030-01-14 19:00:00,1.0,0.0,0.0,29.027427002462588,233.73665961010278,29.027427002462588,0.0,-0.0,29.027427002462588,233.73665961010278
2030-01-14 20:00:00,1.0,0.0,0.0,90.0,138.8683298050514,90.0,0.0,-0.0,90.0,138.8683298050514
