trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode,renewable_capacity_mw,peak_load_mw,is_target_endpoint,site,selection_score
e2644db06878fb84c4434a5d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.090035886,1571.6313626196131,2088.9589101831334,1373.5335195570515,3.548945947447955,1.6979748492094344,1.6979748492094344,169.79748492094345,0.0,69.0,69.0,100.0,67.08258758596799,3358.1995975685572,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,34.877184527286914,90.0,True,True,True,False,True,benchmark,139.2,0.0,False,Croaghonagh,0.7
b14e466b9b8d54f172b6c3ea,WP2033,north-west,5041-17010-2,5041-17010-2,1,Binbane,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.090035887,1571.6313626196131,2088.9589101831334,1319.1832960918982,3.548945947447955,1.6307865999394031,1.6307865999394031,163.0786599939403,0.0,68.0,68.0,100.0,67.08258758596799,3358.1995975685577,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,33.25338228831927,90.0,True,True,True,False,True,benchmark,89.3,21.02,False,Binbane,0.7
4e204dc59daeb34b8c322ebc,WP2033,north-west,5041-17010-2,5041-17010-2,1,Letterkenny,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358865,1571.6313626196131,2088.9589101831334,1248.490912535286,3.548945947447955,1.5433960211142839,1.5433960211142839,154.33960211142838,0.0,69.0,69.0,100.0,67.04008218936183,3358.1995975685572,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,32.811960141519535,90.0,True,True,True,False,True,benchmark,90.77000000000001,74.24,False,Letterkenny,0.7
f1c99fe1866b2ac8936593c2,WP2033,north-west,5041-17010-2,5041-17010-2,1,Tievebrack,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358874,1571.6313626196136,2088.9589101831325,1213.1063099885432,3.5489459474479537,1.499653247954283,1.499653247954283,149.9653247954283,0.0,69.0,69.0,100.0,67.04008218936183,3358.199597568557,3022.3796378117013,6380.579235380258,3.5447662418779213,4.430957802347401,0,0.0,10.0,32.488536385045585,90.0,True,True,True,False,True,benchmark,29.9,0.0,False,Tievebrack,0.7
171d49536dcc75cdcf363b6b,WP2033,north-west,5041-17010-2,5041-17010-2,1,Drumkeen,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358874,1571.631362619613,2088.9589101831334,1211.5638814687554,3.548945947447955,1.4977464835426308,1.4977464835426308,149.7746483542631,0.0,69.0,69.0,100.0,67.04008218936183,3358.199597568557,3022.3796378117013,6380.579235380258,3.5447662418779213,4.430957802347401,0,0.0,10.0,32.69805358362987,90.0,True,True,True,False,True,benchmark,84.96,0.0,False,Drumkeen,0.7
295a77b87f2c930213861a51,WP2033,north-west,5041-17010-2,5041-17010-2,1,Cathaleen's Fall,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358874,1571.6313626196134,2088.958910183133,1168.41686937958,3.548945947447954,1.4444077478635906,1.4444077478635906,144.44077478635907,0.0,69.0,69.0,100.0,67.04008218936183,3358.199597568557,3022.3796378117017,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,32.700952266373214,90.0,True,True,True,False,True,benchmark,55.0,19.14,True,Cathaleen's Fall,0.7
01d2bdb33e86be92cab0c70e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Trillick,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4161817.02136621,1692.6546723491574,1967.935600453589,1136.542533330241,3.3433386554530387,1.4050043986359133,1.4050043986359133,140.50043986359134,0.0,66.0,66.0,100.0,67.12650592131983,3237.1762878390123,2913.4586590551107,6150.634946894123,3.417019414941179,4.271274268676474,0,0.0,10.0,33.26302002606552,90.0,True,True,True,False,True,benchmark,44.69,22.55,False,Trillick,0.7
d8ee5841010162523cab419c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Ardnagappary,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4156423.812438034,1733.9469388239663,1926.64333397878,1085.2166549625254,3.2731869540230347,1.3415548727662654,1.3415548727662654,134.15548727662653,0.0,68.0,68.0,100.0,67.0921287923702,3151.813504930711,2836.63215443764,5988.445659368352,3.32691425520464,4.1586428190058,0,0.0,10.0,35.61611171961155,90.0,True,True,True,False,True,benchmark,22.94,10.86,False,Ardnagappary,0.7
b85e847c823a6e4eafbf8c8c,WP2033,north-west,5041-17010-2,5041-17010-2,1,Sorne Hill,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4161817.0213662107,1692.6546723491588,1967.9356004535875,1065.7472258431008,3.3433386554530364,1.3174865842952932,1.3174865842952932,131.7486584295293,0.0,63.0,63.0,100.0,67.04910661495505,3237.1762878390123,2913.4586590551107,6150.634946894123,3.417019414941179,4.271274268676474,0,0.0,10.0,33.268618462283776,90.0,True,True,True,False,True,benchmark,63.24999999999999,0.0,False,Sorne Hill,0.7
2bd507d245c33ba15593b26a,WP2033,north-west,5041-17010-2,5041-17010-2,1,Clogher,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.090035886,1571.6313626196136,2088.9589101831325,938.5101559952818,3.5489459474479537,1.160194940944374,1.160194940944374,116.01949409443739,0.0,67.0,67.0,100.0,67.1592310023794,3358.1995975685572,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,33.19480573527045,90.0,True,True,True,False,True,benchmark,98.25,0.0,False,Clogher,0.7
710f72af4cb95cbccaeefede,WP2033,north-west,5041-17010-2,5041-17010-2,1,Srananagh 220,1.0,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-3966726.490260813,3310.179745021137,350.41052778160883,186.8159791726357,0.5953147361834024,0.2309436424732212,0.2309436424732212,23.09436424732213,0.0,65.0,65.0,100.0,62.676000137409616,357.9510693710419,322.1559624339377,680.1070318049797,0.3778372398916553,0.4722965498645692,0,0.0,10.0,11.97013483912104,28.247073606898997,True,True,False,False,False,benchmark,0.0,0.0,True,Srananagh 220,0.16166054973125482
28b9362a63ad84573bf89329,WP2033,north-west,5041-17010-2,5041-17010-2,1,Glenree,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-3966726.4902608143,3310.1797450211375,350.41052778160883,54.86409379352699,0.5953147361834024,0.06782350052594172,0.06782350052594172,6.782350052594172,0.0,65.0,65.0,100.0,62.676000137409616,357.951069371042,322.1559624339378,680.1070318049799,0.3778372398916555,0.47229654986456937,0,0.0,10.0,12.44809388352908,28.247073606898994,True,True,False,False,False,benchmark,77.3,0.0,False,Glenree,0.0474764503681592
63142dd2ed8a271555645d6a,WP2033,north-west,5041-17010-2,5041-17010-2,1,Corderry,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-3966726.490260814,3310.1797450211375,350.41052778160883,8.938530080515193,0.5953147361834024,0.011049893613452776,0.011049893613452776,1.1049893613452777,0.0,65.0,65.0,100.0,62.676000137409616,357.95106937104185,322.15596243393765,680.1070318049794,0.37783723989165524,0.47229654986456904,0,0.0,10.0,11.566505973295808,28.247073606898994,True,True,False,False,False,benchmark,161.603,0.0,False,Corderry,0.007734925529416943
55e3a013b1f9a2b46a0f5204,WP2033,north-west,5041-17010-2,5041-17010-2,1,Sligo,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-3966726.4902608143,3310.179745021137,350.4105277816093,-51.797713044587,0.5953147361834031,-0.06403281226412254,-0.06403281226412254,-6.403281226412254,0.0,65.0,65.0,100.0,62.676000137409616,357.95106937104197,322.15596243393804,680.10703180498,0.3778372398916556,0.4722965498645694,0,0.0,10.0,11.950739200851459,28.247073606898997,True,True,False,False,False,benchmark,52.529999999999994,60.88,False,Sligo,0.0
c28b9c175fcd47aef3c60ccb,WP2033,north-west,5041-17010-2,5041-17010-2,1,Moy,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-3935124.404494002,3660.5902728027463,0.0,-474.1093209592291,0.0,-0.5860983305483114,-0.5860983305483114,-58.60983305483114,0.0,52.0,52.0,100.0,61.846874192879675,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,10.0,True,True,False,False,False,benchmark,36.0,30.2,False,Moy,0.0
