scenario,snapshot,generator,bus,priority_status,available_mw,dispatched_mw,dispatch_down_mw,duration_h,dispatch_down_mwh
network_neutral_static,2030-01-14 06:00:00,Moy wind,Moy,non_priority,2.593172695583545,2.593172695583545,0.0,1.0,0.0
network_neutral_static,2030-01-14 07:00:00,Moy wind,Moy,non_priority,6.114057821370654,6.114057821370654,0.0,1.0,0.0
network_neutral_static,2030-01-14 08:00:00,Moy wind,Moy,non_priority,5.270951042751047,5.270951042751047,0.0,1.0,0.0
network_neutral_static,2030-01-14 09:00:00,Moy wind,Moy,non_priority,11.047560087227543,11.047560087227543,0.0,1.0,0.0
network_neutral_static,2030-01-14 10:00:00,Moy wind,Moy,non_priority,12.148773043499407,12.148773043499407,0.0,1.0,0.0
network_neutral_static,2030-01-14 11:00:00,Moy wind,Moy,non_priority,17.131255387700786,17.131255387700786,0.0,1.0,0.0
network_neutral_static,2030-01-14 12:00:00,Moy wind,Moy,non_priority,4.658483868443723,4.658483868443723,0.0,1.0,0.0
network_neutral_static,2030-01-14 13:00:00,Moy wind,Moy,non_priority,3.8256639721185137,3.8256639721185137,0.0,1.0,0.0
network_neutral_static,2030-01-14 14:00:00,Moy wind,Moy,non_priority,3.3605464756831065,3.3605464756831065,0.0,1.0,0.0
network_neutral_static,2030-01-14 15:00:00,Moy wind,Moy,non_priority,11.730051014997986,11.730051014997986,0.0,1.0,0.0
network_neutral_static,2030-01-14 16:00:00,Moy wind,Moy,non_priority,11.795881522163766,11.795881522163766,0.0,1.0,0.0
network_neutral_static,2030-01-14 17:00:00,Moy wind,Moy,non_priority,17.165011510422797,17.165011510422797,0.0,1.0,0.0
network_neutral_static,2030-01-14 18:00:00,Moy wind,Moy,non_priority,12.582531697636798,12.582531697636798,0.0,1.0,0.0
network_neutral_static,2030-01-14 19:00:00,Moy wind,Moy,non_priority,10.434839390200098,10.434839390200098,0.0,1.0,0.0
network_neutral_static,2030-01-14 20:00:00,Moy wind,Moy,non_priority,7.535971975801032,7.535971975801032,0.0,1.0,0.0
network_neutral_static,2030-01-14 21:00:00,Moy wind,Moy,non_priority,6.48874475138805,6.48874475138805,0.0,1.0,0.0
network_neutral_static,2030-01-14 22:00:00,Moy wind,Moy,non_priority,6.056832557293562,6.056832557293562,0.0,1.0,0.0
network_neutral_static,2030-01-14 23:00:00,Moy wind,Moy,non_priority,11.844557453997908,11.844557453997908,0.0,1.0,0.0
network_neutral_static,2030-01-15 00:00:00,Moy wind,Moy,non_priority,16.84478027321001,16.84478027321001,0.0,1.0,0.0
network_neutral_static,2030-01-15 01:00:00,Moy wind,Moy,non_priority,17.031689988566228,17.031689988566228,0.0,1.0,0.0
network_neutral_static,2030-01-15 02:00:00,Moy wind,Moy,non_priority,19.69017615595648,19.69017615595648,0.0,1.0,0.0
network_neutral_static,2030-01-15 03:00:00,Moy wind,Moy,non_priority,25.24151902397247,25.24151902397247,0.0,1.0,0.0
network_neutral_static,2030-01-15 04:00:00,Moy wind,Moy,non_priority,26.654513720062518,26.654513720062518,0.0,1.0,0.0
network_neutral_static,2030-01-15 05:00:00,Moy wind,Moy,non_priority,24.845417841943814,24.845417841943814,0.0,1.0,0.0
