snapshot,duration_h,project_wind_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,pcc_export_mw,pcc_import_mw,charge_mw__Croaghonagh,discharge_mw__Croaghonagh,soc_mwh__Croaghonagh
2030-01-14 06:00:00,1.0,0.0,0.0,0.0,11.0,0.0,0.0,-0.0,-0.0,11.0
2030-01-14 07:00:00,1.0,0.0,2.7601446982724815,0.0,13.618503175453778,0.0,2.7601446982724815,2.7601446982724815,-0.0,13.618503175453778
2030-01-14 08:00:00,1.0,0.0,22.5,0.0,34.963877381590336,0.0,22.5,22.5,-0.0,34.963877381590336
2030-01-14 09:00:00,1.0,0.0,22.5,0.0,56.30925158772689,0.0,22.5,22.5,-0.0,56.30925158772689
2030-01-14 10:00:00,1.0,0.0,22.5,0.0,77.65462579386345,0.0,22.5,22.5,-0.0,77.65462579386345
2030-01-14 11:00:00,1.0,0.0,22.5,0.0,99.0,0.0,22.5,22.5,-0.0,99.0
2030-01-14 12:00:00,1.0,0.0,0.0,0.0,99.0,0.0,0.0,-0.0,-0.0,99.0
2030-01-14 13:00:00,1.0,0.0,0.0,22.5,75.28291754873715,22.5,0.0,-0.0,22.5,75.28291754873715
2030-01-14 14:00:00,1.0,0.0,0.0,17.99999999999998,56.30925158772689,17.99999999999998,0.0,-0.0,17.99999999999998,56.30925158772689
2030-01-14 15:00:00,1.0,0.0,22.5,0.0,77.65462579386345,0.0,22.5,22.5,-0.0,77.65462579386345
2030-01-14 16:00:00,1.0,0.0,0.0,0.0,77.65462579386345,0.0,0.0,-0.0,-0.0,77.65462579386345
2030-01-14 17:00:00,1.0,0.0,22.5,0.0,99.0,0.0,22.5,22.5,-0.0,99.0
2030-01-14 18:00:00,1.0,0.0,0.0,22.5,75.28291754873715,22.5,0.0,-0.0,22.5,75.28291754873715
2030-01-14 19:00:00,1.0,0.0,0.0,22.499999999999993,51.565835097474306,22.499999999999993,0.0,-0.0,22.499999999999993,51.565835097474306
2030-01-14 20:00:00,1.0,0.0,0.0,15.98413022844521,34.71708245126285,15.98413022844521,0.0,-0.0,15.98413022844521,34.71708245126285
2030-01-14 21:00:00,1.0,0.0,0.0,22.5,11.0,22.5,0.0,-0.0,22.5,11.0
2030-01-14 22:00:00,1.0,0.0,0.0,0.0,11.0,0.0,0.0,-0.0,-0.0,11.0
2030-01-14 23:00:00,1.0,0.0,0.0,0.0,11.0,0.0,0.0,-0.0,-0.0,11.0
2030-01-15 00:00:00,1.0,0.0,0.0,0.0,11.0,0.0,0.0,-0.0,-0.0,11.0
2030-01-15 01:00:00,1.0,0.0,0.0,0.0,11.0,0.0,0.0,-0.0,-0.0,11.0
2030-01-15 02:00:00,1.0,0.0,7.157538159457978,0.0,17.790236907037,0.0,7.157538159457978,7.157538159457978,-0.0,17.790236907037
2030-01-15 03:00:00,1.0,0.0,22.5,0.0,39.13561111317355,0.0,22.5,22.5,-0.0,39.13561111317355
