bus,ac_component,response_zone_id,component_zone_count,component_silhouette,feature_norm,active_mode_count,clustering_basis
86221,0,C000-Z001,1,0.0,0.0,0,centered_event_weighted_directional_ptdf
GB_EWIC,1,C001-Z001,1,0.0,0.0,0,centered_event_weighted_directional_ptdf
GB_GREENLINK,2,C002-Z001,1,0.0,0.0,0,centered_event_weighted_directional_ptdf
1021,3,C003-Z001,2,0.8445897895128286,0.03716788681895031,16,centered_event_weighted_directional_ptdf
1031,3,C003-Z001,2,0.8445897895128286,0.01938226005355734,16,centered_event_weighted_directional_ptdf
1041,3,C003-Z001,2,0.8445897895128286,0.0354572914945791,16,centered_event_weighted_directional_ptdf
1042,3,C003-Z001,2,0.8445897895128286,0.03563912820343098,16,centered_event_weighted_directional_ptdf
1052,3,C003-Z001,2,0.8445897895128286,0.03563927725981213,16,centered_event_weighted_directional_ptdf
1061,3,C003-Z001,2,0.8445897895128286,0.06428720783636262,16,centered_event_weighted_directional_ptdf
1062,3,C003-Z001,2,0.8445897895128286,0.035639277259812224,16,centered_event_weighted_directional_ptdf
1071,3,C003-Z001,2,0.8445897895128286,0.021672291167419235,16,centered_event_weighted_directional_ptdf
1072,3,C003-Z001,2,0.8445897895128286,0.03563825209857039,16,centered_event_weighted_directional_ptdf
1081,3,C003-Z001,2,0.8445897895128286,0.0378942264966682,16,centered_event_weighted_directional_ptdf
1091,3,C003-Z001,2,0.8445897895128286,0.03436286386008417,16,centered_event_weighted_directional_ptdf
1101,3,C003-Z001,2,0.8445897895128286,0.026833526457832897,16,centered_event_weighted_directional_ptdf
1121,3,C003-Z001,2,0.8445897895128286,0.08019028642191593,16,centered_event_weighted_directional_ptdf
1122,3,C003-Z001,2,0.8445897895128286,0.09102747160034162,16,centered_event_weighted_directional_ptdf
1131,3,C003-Z001,2,0.8445897895128286,0.06110248272991374,16,centered_event_weighted_directional_ptdf
1141,3,C003-Z001,2,0.8445897895128286,0.010439207518219931,16,centered_event_weighted_directional_ptdf
1151,3,C003-Z001,2,0.8445897895128286,0.04925170917579718,16,centered_event_weighted_directional_ptdf
1161,3,C003-Z001,2,0.8445897895128286,0.048120518036575834,16,centered_event_weighted_directional_ptdf
1181,3,C003-Z001,2,0.8445897895128286,0.028481625535315486,16,centered_event_weighted_directional_ptdf
1201,3,C003-Z001,2,0.8445897895128286,0.031884073491500076,16,centered_event_weighted_directional_ptdf
1211,3,C003-Z001,2,0.8445897895128286,0.047441110010357716,16,centered_event_weighted_directional_ptdf
1212,3,C003-Z001,2,0.8445897895128286,0.04744111001036467,16,centered_event_weighted_directional_ptdf
1221,3,C003-Z001,2,0.8445897895128286,0.016972333437911675,16,centered_event_weighted_directional_ptdf
1231,3,C003-Z001,2,0.8445897895128286,0.06127549534294869,16,centered_event_weighted_directional_ptdf
1243,3,C003-Z001,2,0.8445897895128286,0.03556168673027996,16,centered_event_weighted_directional_ptdf
1244,3,C003-Z001,2,0.8445897895128286,0.03556168673028225,16,centered_event_weighted_directional_ptdf
1251,3,C003-Z001,2,0.8445897895128286,0.04196716551315452,16,centered_event_weighted_directional_ptdf
1261,3,C003-Z001,2,0.8445897895128286,0.02886975886614052,16,centered_event_weighted_directional_ptdf
1271,3,C003-Z001,2,0.8445897895128286,0.02198499741166459,16,centered_event_weighted_directional_ptdf
1281,3,C003-Z001,2,0.8445897895128286,0.03994372333176576,16,centered_event_weighted_directional_ptdf
